link,desc,lat,lng,latitude,longitude,imageSrc
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x600106498d926e95:0xf018d3ec10271307!8m2!3d34.998392!4d135.731755!16s%2Fg%2F1tfw2y7r!19sChIJlW6SjUkGAWARBxMnEOzTGPA?authuser=0&hl=es-419&rclk=1,7-Eleven,34.998392,135.731755,34.998392,135.731755,7eleven.png
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x600106364cd6d733:0x6d65d9a53be8b7a9!8m2!3d34.9973079!4d135.735106!16s%2Fg%2F12hp0kb7b!19sChIJM9fWTDYGAWARqbfoO6XZZW0?authuser=0&hl=es-419&rclk=1,FamilyMart,34.9973079,135.735106,34.9973079,135.735106,familymart.png
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x6001064779d14f91:0xde73821740c1034f!8m2!3d34.9924625!4d135.7325907!16s%2Fg%2F11b7qbrb7v!19sChIJkU_ReUcGAWARTwPBQBeCc94?authuser=0&hl=es-419&rclk=1,7-Eleven,34.9924625,135.7325907,34.9924625,135.7325907,7eleven.png
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x60010647ae19c783:0x1acd3c8bc63f8838!8m2!3d34.9922619!4d135.7313807!16s%2Fg%2F11bccm1vnq!19sChIJg8cZrkcGAWAROIg_xos8zRo?authuser=0&hl=es-419&rclk=1,FamilyMart,34.9922619,135.7313807,34.9922619,135.7313807,familymart.png
https://www.google.com/maps/place/7-Eleven+-+Kyoto+Research+Park/data=!4m7!3m6!1s0x6001063bcefece61:0x73b042fe0fb8901f!8m2!3d34.9950549!4d135.7388445!16s%2Fg%2F1tlbjg91!19sChIJYc7-zjsGAWARH5C4D_5CsHM?authuser=0&hl=es-419&rclk=1,7-Eleven - Kyoto Research Park,34.9950549,135.7388445,34.9950549,135.7388445,7eleven.png
https://www.google.com/maps/place/7-Eleven+-+Saiin+Station+South/data=!4m7!3m6!1s0x6001064ac428d187:0x3b1a86821b0b20f3!8m2!3d35.0026282!4d135.7314887!16s%2Fg%2F11ckncjrb3!19sChIJh9EoxEoGAWAR8yALG4KGGjs?authuser=0&hl=es-419&rclk=1,7-Eleven - Saiin Station South,35.0026282,135.7314887,35.0026282,135.7314887,7eleven.png
https://www.google.com/maps/place/FamilyMart+Saiin+South+Store/data=!4m7!3m6!1s0x6001064a95d95555:0xac7c73d6c68ebd7b!8m2!3d35.0023912!4d135.7322434!16s%2Fg%2F1th7msxv!19sChIJVVXZlUoGAWARe72OxtZzfKw?authuser=0&hl=es-419&rclk=1,FamilyMart Saiin South Store,35.0023912,135.7322434,35.0023912,135.7322434,familymart.png
https://www.google.com/maps/place/Daily+Yamazaki/data=!4m7!3m6!1s0x6001063a3d076657:0x7d7e0c2e3f7b0f36!8m2!3d34.9963954!4d135.7386446!16s%2Fg%2F1vljg6vs!19sChIJV2YHPToGAWARNg97Py4Mfn0?authuser=0&hl=es-419&rclk=1,Daily Yamazaki,34.9963954,135.7386446,34.9963954,135.7386446,dailyyamazaki.png
https://www.google.com/maps/place/LAWSON+Nishikyogoku+Kitashozakaicho+Store/data=!4m7!3m6!1s0x6001064e551930e1:0xa416159aee229ae2!8m2!3d34.994058!4d135.7259935!16s%2Fg%2F1tr7j8kt!19sChIJ4TAZVU4GAWAR4poi7poVFqQ?authuser=0&hl=es-419&rclk=1,LAWSON Nishikyogoku Kitashozakaicho Store,34.994058,135.7259935,34.994058,135.7259935,lawson.png
https://www.google.com/maps/place/Lawson+Shijo-Saiin/data=!4m7!3m6!1s0x6001064ab1548b97:0x23f4616853d207c8!8m2!3d35.0033632!4d135.7321891!16s%2Fg%2F1tgb_nz6!19sChIJl4tUsUoGAWARyAfSU2hh9CM?authuser=0&hl=es-419&rclk=1,Lawson Shijo-Saiin,35.0033632,135.7321891,35.0033632,135.7321891,lawson.png
